,Location,Fuel_Type,Transmission,Owner_Type,Brand,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price
0,Mumbai,CNG,Manual,First,Maruti,2010,72000,26.6,998.0,58.16,5.0,1.75
1,Pune,Diesel,Manual,First,Hyundai,2015,41000,19.67,1582.0,126.2,5.0,12.5
2,Chennai,Petrol,Manual,First,Honda,2011,46000,18.2,1199.0,88.7,5.0,4.5
3,Chennai,Diesel,Manual,First,Maruti,2012,87000,20.77,1248.0,88.76,7.0,6.0
4,Coimbatore,Diesel,Automatic,Second,Audi,2013,40670,15.2,1968.0,140.8,5.0,17.74
5,Hyderabad,LPG,Manual,First,Hyundai,2012,75000,21.1,814.0,55.2,5.0,2.35
6,Jaipur,Diesel,Manual,First,Nissan,2013,86999,23.08,1461.0,63.1,5.0,3.5
7,Mumbai,Diesel,Automatic,First,Toyota,2016,36000,11.36,2755.0,171.5,8.0,17.5
8,Pune,Diesel,Manual,First,Volkswagen,2013,64430,20.54,1598.0,103.6,5.0,5.2
9,Chennai,Diesel,Manual,Second,Tata,2012,65932,22.3,1248.0,74.0,5.0,1.95
10,Kochi,Petrol,Manual,First,Maruti,2018,25692,21.56,1462.0,103.25,5.0,9.95
11,Kolkata,Petrol,Automatic,First,Honda,2012,60000,16.8,1497.0,116.3,5.0,4.49
12,Jaipur,Diesel,Manual,First,Maruti,2015,64424,25.2,1248.0,74.0,5.0,5.6
13,Delhi,Diesel,Automatic,First,Land,2014,72000,12.7,2179.0,187.7,5.0,27.0
14,Pune,Diesel,Automatic,Second,Land,2012,85000,0.0,2179.0,115.0,5.0,17.5
16,Kochi,Diesel,Manual,First,Honda,2016,58950,25.8,1498.0,98.6,5.0,5.4
17,Jaipur,Diesel,Manual,First,Maruti,2017,25000,28.4,1248.0,74.0,5.0,5.99
18,Kochi,Diesel,Manual,First,Renault,2014,77469,20.45,1461.0,83.8,5.0,6.34
19,Bangalore,Diesel,Automatic,First,Mercedes-Benz,2014,78500,14.84,2143.0,167.62,5.0,28.0
20,Kochi,Diesel,Automatic,First,BMW,2014,32982,22.69,1995.0,190.0,5.0,18.55
21,Bangalore,Diesel,Manual,Second,Maruti,2015,55392,23.65,1248.0,88.5,5.0,8.25
22,Mumbai,Petrol,Automatic,First,Audi,2015,55985,13.53,1984.0,177.01,5.0,23.5
23,Kolkata,Petrol,Manual,First,Hyundai,2010,45807,18.5,1197.0,80.0,5.0,1.87
24,Kolkata,Petrol,Automatic,First,Volkswagen,2010,33000,14.4,1598.0,103.6,5.0,2.85
25,Mumbai,Petrol,Manual,First,Honda,2012,51920,16.8,1497.0,116.3,5.0,4.25
26,Hyderabad,Diesel,Manual,First,Nissan,2012,54000,23.08,1461.0,63.1,5.0,4.25
27,Hyderabad,Petrol,Manual,Second,Maruti,2013,54000,20.92,998.0,67.1,5.0,2.75
28,Kochi,Petrol,Manual,First,Honda,2018,37430,17.5,1199.0,88.7,5.0,9.9
30,Bangalore,Diesel,Manual,First,Renault,2013,62000,19.01,1461.0,108.45,5.0,7.75
31,Delhi,Petrol,Manual,First,Toyota,2012,87615,14.53,1798.0,138.1,5.0,6.75
32,Bangalore,Diesel,Automatic,Second,Mahindra,2013,72000,11.18,2696.0,184.0,7.0,12.5
